グループ名,名前,加入期
乃木坂46,黒見明香,新4期生
乃木坂46,佐藤璃果,新4期生
乃木坂46,林瑠奈,新4期生
乃木坂46,松尾美佑,新4期生
乃木坂46,弓木奈於,新4期生
日向坂46,髙橋未来虹,新3期生
日向坂46,森本茉莉,新3期生
日向坂46,山口陽世,新3期生
日向坂46,長濱ねる,1期生
櫻坂46,長濱ねる,特例
櫻坂46,遠藤光莉,新2期生
櫻坂46,大園玲,新2期生
櫻坂46,大沼晶保,新2期生
櫻坂46,幸阪茉里乃,新2期生
櫻坂46,増本綺良,新2期生
櫻坂46,守屋麗奈,新2期生
