グループ名,加入期,加入記念日
乃木坂46,1期,2011/8/21
乃木坂46,2期,2013/3/28
乃木坂46,交換留学生,2014/4/24
乃木坂46,3期,2016/9/4
乃木坂46,4期,2018/11/29
乃木坂46,新4期,2020/2/16
乃木坂46,5期,2022/2/1
乃木坂46,6期,2025/2/5
櫻坂46,1期,2015/8/21
櫻坂46,特例,2015/11/30
櫻坂46,2期,2018/11/29
櫻坂46,新2期,2020/2/16
櫻坂46,3期,2023/1/6
櫻坂46,4期,2025/4/16
日向坂46,1期,2016/5/8
日向坂46,2期,2017/8/13
日向坂46,3期,2018/11/29
日向坂46,新3期,2020/2/16
日向坂46,4期,2022/9/22
日向坂46,5期,2025/3/11
